eventId,epc_code,location_id,scan_location,business_step,event_type,event_time,file_id,is_anomaly,anomaly_type
1,001.8809437.7017909.262805.20250701.000000001,1,인천공장,Factory,Aggregation,2025-07-01 10:00:00,1,0,normal
2,001.8809437.7017909,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 13:33:31,1,1,epcFake
3,001.8809437.7017909.262805.20250701.000000001,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 15:23:44,1,0,normal
4,001.8809437.7017909.262805.20250701.000000001,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-01 18:02:43,1,0,normal
5,001.8809437.7017909.262805.20250701.000000001,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 01:25:33,1,0,normal
6,001.8809437.2707261.801165.20250701.000000002,1,인천공장,Factory,Aggregation,2025-07-01 10:03:00,1,0,normal
7,001.8809437.2707261.801165.20250701.000000002,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 16:59:58,1,0,normal
8,001.8809437.2707261.801165.20250701.000000002,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 07:59:58,1,1,evtOrderErr
9,001.8809437.2707261.801165.20250701.000000002,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 00:37:16,1,0,normal
10,001.8809437.2707261.801165.20250701.000000002,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 04:35:20,1,0,normal
11,001.8809437.1233536.469465.20250701.000000003,1,인천공장,Factory,Aggregation,2025-07-01 10:06:00,1,0,normal
12,001.8809437.1233536.469465.20250701.000000003,5,인천공장창고,WMS,WMS_Inbound,2025-07-01 14:13:32,1,0,normal
13,001.8809437.1233536.469465.20250701.000000003,13,수도권물류센터,Logistics_HUB,HUB_Inbound,2025-07-01 17:41:17,1,0,normal
14,001.8809437.1233536.469465.20250701.000000003,23,수도권_도매상1,W_Stock_Inbound,W_Stock_Inbound,2025-07-02 00:09:19,1,0,normal
15,001.8809437.1233536.469465.20250701.000000003,53,수도권_도매상1_권역_소매상1,R_Stock_Inbound,R_Stock_Inbound,2025-07-02 09:33:42,1,0,normal
