epc,timestamp,location_id,latitude,longitude,temperature,humidity,signal_strength,movement_speed,epcFake,epcDup,locErr,evtOrderErr,jump,temp_anomaly,speed_anomaly,epcFake_predicted,epcFake_confidence,epcDup_predicted,epcDup_confidence,locErr_predicted,locErr_confidence,evtOrderErr_predicted,evtOrderErr_confidence,jump_predicted,jump_confidence,overall_risk_score
EPC_000944,2025-01-15 01:00:00,NYC_WAREHOUSE,40.3252768365278,-74.01725551740381,22.110042830855683,41.40135575428046,-60.04505521781746,16.956762131480957,0,0,0,0,0,0.10550214154278414,0.0,0.500251,0.500251,0.51518565,0.51518565,0.53814673,0.53814673,0.4964269,0.4964269,0.49240693,0.49240693,0.53814673
EPC_000339,2025-01-05 01:00:00,LA_WAREHOUSE,40.97884864267945,-73.53770615885945,19.559189525730606,42.59548438829507,-54.8065771589997,47.97081241440013,0,0,0,0,0,0.022040523713469717,0.0,0.5057692,0.5057692,0.50347716,0.50347716,0.5483601,0.5483601,0.5085083,0.5085083,0.4805851,0.4805851,0.5483601
EPC_000110,2025-01-26 15:00:00,CHI_STORE,40.32516327891756,-73.66818746427792,20.995450913931297,44.14078648644117,-50.83171205615406,38.48608926682549,1,0,0,0,0,0.04977254569656484,0.0,0.5069432,0.5069432,0.49855343,0.49855343,0.5504079,0.5504079,0.49649426,0.49649426,0.48866504,0.48866504,0.5504079
EPC_000912,2025-02-05 11:00:00,NYC_WAREHOUSE,40.733108091763135,-73.80495790404738,20.765033822819237,41.83121080198173,-52.880897604735765,37.01559517754829,0,0,0,0,0,0.03825169114096187,0.0,0.5036045,0.5036045,0.5078395,0.5078395,0.5463843,0.5463843,0.5018856,0.5018856,0.48042506,0.48042506,0.5463843
EPC_000214,2025-01-31 05:00:00,LA_WAREHOUSE,40.9533686947529,-73.93118247204232,22.339521271407243,46.86809697933842,-57.127238566317686,59.26935719575705,0,0,0,0,0,0.11697606357036214,0.0,0.5074932,0.5074932,0.48762733,0.48762733,0.55034995,0.55034995,0.5021695,0.5021695,0.5077229,0.5077229,0.55034995
EPC_000789,2025-02-06 03:00:00,NYC_WAREHOUSE,40.47495053538185,-73.97203413753118,16.424481806806966,38.68611186155595,-57.302553212678646,46.69192423991092,0,0,0,0,0,0.17877590965965168,0.0,0.5065032,0.5065032,0.5029933,0.5029933,0.5174296,0.5174296,0.49999952,0.49999952,0.48303822,0.48303822,0.5174296
EPC_000226,2025-01-30 04:00:00,LA_WAREHOUSE,40.525744852152854,-74.38599199952857,17.554205625822433,54.70592514257095,-52.48570028050738,20.041560640701075,0,0,0,0,0,0.12228971870887832,0.0,0.50470227,0.50470227,0.50664824,0.50664824,0.5161292,0.5161292,0.48164716,0.48164716,0.49251038,0.49251038,0.5161292
EPC_000454,2025-01-31 02:00:00,LA_WAREHOUSE,40.44466391512629,-74.2928188419216,19.919417247476602,47.6020977269024,-61.78796322118441,58.012039724745804,0,0,0,0,0,0.004029137626169898,0.0,0.5137954,0.5137954,0.48989996,0.48989996,0.53246444,0.53246444,0.48059893,0.48059893,0.49804407,0.49804407,0.53246444
EPC_000647,2025-01-09 12:00:00,NYC_WAREHOUSE,40.78611811113819,-74.1676743676242,20.656470516963186,43.19077458731044,-51.278546425130926,51.62949214082615,0,0,0,0,0,0.032823525848159285,0.0,0.50662315,0.50662315,0.500157,0.500157,0.5426619,0.5426619,0.49516013,0.49516013,0.4822411,0.4822411,0.5426619
EPC_000743,2025-01-20 11:00:00,LA_WAREHOUSE,40.36734191694542,-74.22578196999089,20.79040793181758,43.6147466431885,-49.32568236416745,54.194115502040574,0,0,0,0,0,0.039520396590878984,0.0,0.50961936,0.50961936,0.49329293,0.49329293,0.54278415,0.54278415,0.48733672,0.48733672,0.48584723,0.48584723,0.54278415
